model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
Random Forest,0.7344023968327567,0.024421409410350235,0.7344962406015038,0.02471360748066891,0.7316771367883396,0.024412009705637786
XGBoost,0.7347890287833934,0.009958640759734618,0.7349022556390977,0.010266413075752224,0.7307687244474879,0.010009712465058081
Logistic Regression,0.6607397367764026,0.017984513118980604,0.6607568922305764,0.0179964423005713,0.6553047142628504,0.01909379919738523
SVM,0.6705631843635196,0.026872543082722786,0.6707268170426064,0.027143174184769168,0.6550537205846376,0.02807148462148799
