strategy,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,F_f1_mean,F_f1_std,SVEB_f1_mean,SVEB_f1_std
baseline,0.8818199999999999,0.0461910922148416,0.67394,0.05701879514686362,0.61882,0.061297161435094207,0.040639999999999996,0.08199081046068514,0.51788,0.1877369089976715
moderate,0.899,0.04659543969102556,0.6467999999999999,0.046913803938713,0.62112,0.056715006832407204,0.009999999999999998,0.017914658802221158,0.52974,0.17231567833485148
