class,precision,recall_sensitivity,f1,support,specificity
N,0.9374619366626066,0.8246501037969598,0.8774448680038477,29866,0.6026602176541717
SVEB,0.029099307159353348,0.04329896907216495,0.034806629834254144,1455,0.9354144902599397
VEB,0.6887483355525965,0.9011324041811847,0.7807547169811321,2296,0.9705093833780161
F,0.010383386581469648,0.07065217391304347,0.018105849582172703,368,0.9263223619659263
Q,0.017857142857142856,0.0625,0.027777777777777776,16,0.998381638958364
