class,precision,recall_sensitivity,f1,support,specificity
N,0.938511981865285,0.7763008102859439,0.8497342862378596,29866,0.6326481257557437
SVEB,0.02018966044661976,0.04536082474226804,0.0279424216765453,1455,0.9015854482885761
VEB,0.5063769485120454,0.9337979094076655,0.6566615620214395,2296,0.9340797981390948
F,0.009111617312072893,0.043478260869565216,0.015065913370998116,368,0.9482650967799483
Q,0.07894736842105263,0.1875,0.1111111111111111,16,0.9989701338825953
