class,precision,recall_sensitivity,f1,support,specificity
N,0.9465551573078455,0.7958213352976629,0.8646682188591386,29866,0.675453446191052
SVEB,0.040137053352912386,0.056357388316151204,0.046883933676386505,1455,0.9397468198857002
VEB,0.44549858700040373,0.9612369337979094,0.6088275862068966,2296,0.9133575145876045
F,0.008791208791208791,0.043478260869565216,0.014625228519195612,368,0.9463622037879463
Q,0.10810810810810811,0.5,0.17777777777777778,16,0.9980579667500368
