Model,Accuracy,Balanced Accuracy,Macro F1,Macro Precision,Macro Recall / Sensitivity,Macro Specificity
SVM,0.787859180612335,0.38044673019267056,0.34777796843583686,0.3367100217626338,0.38044673019267056,0.8866576184432835
XGBoost,0.7670656745389841,0.47137878365625774,0.342556549007879,0.3098180229120957,0.47137878365625774,0.8945955902404679
MLP,0.7474486044528103,0.39728756106108853,0.3321030588835907,0.31062751531141514,0.39728756106108853,0.8831097205691917
