max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,gamma,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
7,0.03,600,0.8,0.8,2,0.1,0.8652955465587044,0.7113975183112363,0.6190805607397796,0.7113975183112363,0.6434432174524494
5,0.05,500,0.9,0.9,1,0.0,0.8587206477732794,0.7123019183996894,0.6050078355936578,0.7123019183996894,0.6357773006115368
6,0.05,500,0.9,0.9,2,0.0,0.8616032388663968,0.708551373970994,0.5989212748978323,0.708551373970994,0.6323539006841526
6,0.05,400,0.8,0.8,1,0.0,0.8557732793522267,0.7084531423119991,0.5937191277170661,0.7084531423119991,0.627775807840067
5,0.05,400,0.8,0.8,1,0.0,0.8529878542510122,0.7102500850668528,0.5933624174102463,0.7102500850668528,0.6277664488913128
5,0.05,500,0.8,0.8,3,0.1,0.8465101214574898,0.7081993969708056,0.5906602604472514,0.7081993969708056,0.6238275569138436
6,0.05,500,0.8,0.8,3,0.1,0.8373441295546559,0.7048508401727017,0.5809926716287765,0.7048508401727017,0.6150332675072463
6,0.03,600,0.9,0.9,2,0.1,0.8446963562753036,0.7068278752686522,0.5758289776986377,0.7068278752686522,0.6149573330149545
5,0.03,600,0.8,0.8,1,0.0,0.8379919028340082,0.7073343687874635,0.5738693352342467,0.7073343687874635,0.6122465291680168
4,0.05,400,0.8,0.8,1,0.0,0.816744939271255,0.7024007706983634,0.544579771619047,0.7024007706983634,0.5878759665421287
