Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
Random Forest,0.8462341416412398,0.6201572276151157,0.49826806366720033,0.6201572276151157,0.5361911484541124
XGBoost Baseline,0.8289706118516139,0.6314060628015388,0.49538070221241404,0.6314060628015388,0.5335548033604318
Logistic Regression,0.7865076816016273,0.6421208120342602,0.45441074603788884,0.6421208120342602,0.5003750990071079
