class,total_samples,correct,incorrect,recall,error_rate
N,252890,227603,25287,0.9000079085768516,0.09999209142314841
SVEB,14978,9777,5201,0.6527573774869809,0.3472426225130191
VEB,17176,14941,2235,0.8698765719608756,0.13012342803912436
F,825,114,711,0.13818181818181818,0.8618181818181818
Q,10656,9412,1244,0.8832582582582582,0.11674174174174175
